,State Name,County,Year,Population,FIPS,State Abbr,_merge
277,Alabama,Clay County,2017.0,13350,1027,AL,both
278,Alabama,Clay County,2018.0,13294,1027,AL,both
279,Alabama,Clay County,2019.0,13235,1027,AL,both
280,Alabama,Cleburne County,2000.0,14172,1029,AL,both
281,Alabama,Cleburne County,2001.0,14222,1029,AL,both
282,Alabama,Cleburne County,2002.0,14416,1029,AL,both
283,Alabama,Cleburne County,2003.0,14438,1029,AL,both
284,Alabama,Cleburne County,2004.0,14339,1029,AL,both
285,Alabama,Cleburne County,2005.0,14368,1029,AL,both
286,Alabama,Cleburne County,2006.0,14538,1029,AL,both
287,Alabama,Cleburne County,2007.0,14799,1029,AL,both
288,Alabama,Cleburne County,2008.0,14874,1029,AL,both
289,Alabama,Cleburne County,2009.0,14918,1029,AL,both
290,Alabama,Cleburne County,2010.0,15004,1029,AL,both
291,Alabama,Cleburne County,2011.0,14928,1029,AL,both
292,Alabama,Cleburne County,2012.0,14889,1029,AL,both
293,Alabama,Cleburne County,2013.0,14976,1029,AL,both
294,Alabama,Cleburne County,2014.0,15026,1029,AL,both
295,Alabama,Cleburne County,2015.0,14914,1029,AL,both
296,Alabama,Cleburne County,2016.0,14848,1029,AL,both
297,Alabama,Cleburne County,2017.0,14899,1029,AL,both
298,Alabama,Cleburne County,2018.0,15010,1029,AL,both
299,Alabama,Cleburne County,2019.0,14910,1029,AL,both
300,Alabama,Coffee County,2000.0,43580,1031,AL,both
301,Alabama,Coffee County,2001.0,43716,1031,AL,both
302,Alabama,Coffee County,2002.0,43930,1031,AL,both
303,Alabama,Coffee County,2003.0,44315,1031,AL,both
304,Alabama,Coffee County,2004.0,45053,1031,AL,both
305,Alabama,Coffee County,2005.0,45604,1031,AL,both
306,Alabama,Coffee County,2006.0,46228,1031,AL,both
307,Alabama,Coffee County,2007.0,47458,1031,AL,both
308,Alabama,Coffee County,2008.0,48516,1031,AL,both
309,Alabama,Coffee County,2009.0,49440,1031,AL,both
310,Alabama,Coffee County,2010.0,50208,1031,AL,both
311,Alabama,Coffee County,2011.0,50444,1031,AL,both
312,Alabama,Coffee County,2012.0,51141,1031,AL,both
313,Alabama,Coffee County,2013.0,50681,1031,AL,both
314,Alabama,Coffee County,2014.0,50657,1031,AL,both
315,Alabama,Coffee County,2015.0,50963,1031,AL,both
316,Alabama,Coffee County,2016.0,51202,1031,AL,both
317,Alabama,Coffee County,2017.0,51853,1031,AL,both
318,Alabama,Coffee County,2018.0,51950,1031,AL,both
319,Alabama,Coffee County,2019.0,52342,1031,AL,both
320,Alabama,Colbert County,2000.0,54997,1033,AL,both
321,Alabama,Colbert County,2001.0,54793,1033,AL,both
322,Alabama,Colbert County,2002.0,54536,1033,AL,both
323,Alabama,Colbert County,2003.0,54279,1033,AL,both
324,Alabama,Colbert County,2004.0,54380,1033,AL,both
