BUYER_STATE,BUYER_COUNTY,YEAR,Total_Weight
AR,FRANKLIN,2011,10097.477737500138
AR,FRANKLIN,2012,11366.040855225121
AR,FULTON,2006,6831.7797368625625
AR,FULTON,2007,7726.778800987548
AR,FULTON,2008,9491.32380757508
AR,FULTON,2009,11440.638259987552
AR,FULTON,2010,9885.642409762566
AR,FULTON,2011,7217.820778162556
AR,FULTON,2012,7693.678280662556
AR,GARLAND,2006,32898.757170589306
AR,GARLAND,2007,37170.327087265054
AR,GARLAND,2008,39920.92666859004
AR,GARLAND,2009,43155.646665002656
AR,GARLAND,2010,47772.82652250263
AR,GARLAND,2011,55905.62567250211
AR,GARLAND,2012,62846.4641034009
AR,GRANT,2006,2758.4155049999995
AR,GRANT,2007,2975.02561949999
AR,GRANT,2008,3618.2725874999833
AR,GRANT,2009,4653.901387500011
AR,GRANT,2010,4824.039352500033
AR,GRANT,2011,6078.017928862542
AR,GRANT,2012,7124.711722500037
AR,GREENE,2006,15252.316253625226
AR,GREENE,2007,18102.89564347523
AR,GREENE,2008,20989.702431862785
AR,GREENE,2009,17360.488774312686
AR,GREENE,2010,18644.75276726279
AR,GREENE,2011,17821.27248022533
AR,GREENE,2012,18556.219230450068
AR,HEMPSTEAD,2006,4930.489632000003
AR,HEMPSTEAD,2007,5779.402227862544
AR,HEMPSTEAD,2008,6420.7006485000475
AR,HEMPSTEAD,2009,6230.397967500097
AR,HEMPSTEAD,2010,7095.3493575001785
AR,HEMPSTEAD,2011,7986.469252500211
AR,HEMPSTEAD,2012,9613.850257500224
AR,HOT SPRING,2006,4964.615820000049
AR,HOT SPRING,2007,5339.4513000000825
AR,HOT SPRING,2008,5935.180273500118
AR,HOT SPRING,2009,6871.006687500149
AR,HOT SPRING,2010,7517.102062500224
AR,HOT SPRING,2011,9238.197034087765
AR,HOT SPRING,2012,10413.032162025273
AR,HOWARD,2006,2971.0886594999834
AR,HOWARD,2007,3079.7641598624846
AR,HOWARD,2008,3525.497996999989
AR,HOWARD,2009,4110.465603862494
AR,HOWARD,2010,4483.284802500028
AR,HOWARD,2011,5003.2102650000625
AR,HOWARD,2012,5175.552997500085
AR,INDEPENDENCE,2006,11951.170671000167
AR,INDEPENDENCE,2007,13458.203715000165
AR,INDEPENDENCE,2008,12942.096859500243
AR,INDEPENDENCE,2009,14460.921506362696
AR,INDEPENDENCE,2010,17820.593692500246
AR,INDEPENDENCE,2011,18608.168235000117
AR,INDEPENDENCE,2012,19326.101632500173
AR,IZARD,2006,7108.670071500004
